x,dice,rmse
0,0.85337,0.2554417253
1,0,0.7583097463
2,0.85311,0.2159907823
3,0.82759,0.2181950254
4,0.89602,0.0869674123
5,0.8,0.4081607094
6,0,0.6770032312
7,0.76167,0.539789094
8,0.75,0.2093780528
9,0.81775,0.4141722816
10,0,0.5788643138
11,0.86686,0.2648097588
12,0.86875,0.2782606518
13,0.89806,0.3076672595
14,0.29693,0.5326002555
15,0.84682,0.2153395286
16,0.86144,0.2432933397
17,0.84311,0.3943340931
18,0,0.7791999599
19,0.87097,0.4465596273
20,0.83679,0.1312025649
21,0.7614,0.4723342434
22,0.8098,0.4473110738
23,0.87237,0.1505147409
24,0.86072,0.2263607444
25,0.88076,0.1206823135
26,0,0.7778473562
27,0.85455,0.1208075545
28,0.84011,0.1933972898
29,0.84706,0.3086942364
30,0,0.5482303434
31,0.89602,0.2748290459
32,0.67143,0.5059739999
33,0.67699,0.7523733186
34,0.84305,0.2898078802
35,0.83908,0.3144803747
36,0.82555,0.4137464619
37,0.88602,0.5299952408
38,0.85369,0.4877138492
39,0.86445,0.1147458858
40,0.85457,0.2110061869
41,0.82576,0.3552087769
42,0.8693,0.2905092303
43,0.79434,0.1908173233
44,0.84507,0.2348520903
45,0.61635,0.5185482053
46,0.85873,0.26816622
47,0.88299,0.2588983794
48,0.88364,0.3103474188
49,0.84514,0.2187711344
50,0.84762,0.4075846004
51,0.86582,0.1386669338
52,0.823,0.6149086992
53,0.85269,0.2177942539
54,0.8352,0.5676928087
55,0.83587,0.4294015981
56,0.86088,0.2903088445
57,0.8457,0.4584324825
58,0.84928,0.1379655837
59,0.87906,0.1750619943
60,0.83788,0.0840117226
61,0,0.5217042807
62,0.8292,0.3983167598
63,0.91066,0.0765974501
64,0.85346,0.1392931393
65,0.81081,0.3618716028
66,0.81779,0.4257946547
67,0,0.7551035744
68,0.84568,0.3776269318
69,0,0.635122611
70,0.33542,0.1402449716
71,0.89205,0.1588808456
72,0.83768,0.4131703529
73,0.88418,0.1202314455
74,0.83832,0.1274954287
75,0,0.535305463
76,0,0.6736217218
77,0.82944,0.4278235604
78,0,0.7450091426
79,0.87467,0.3442627057
80,0.85793,0.0944317812
81,0.87308,0.1766149838
82,0.77356,0.2717731633
83,0.86085,0.1329809884
84,0.85192,0.1660195877
85,0.86832,0.3178618841
86,0.86538,0.3071161987
87,0.84485,0.3648272925
88,0.85442,0.1919945896
89,0.85046,0.4451318789
90,0.56992,0.7166796082
91,0.83333,0.1561756381
92,0.00288,0.7549282369
93,0.76519,0.3119505047
94,0.88821,0.1085088796
95,0.794,0.2815670165
96,0,0.6713172858
97,0.82031,0.2800891717
98,0,0.5986524059
99,0.84553,0.2639080229
100,0.8792,0.1288981289
101,0.75691,0.5230067881
102,0.85846,0.3143801819
103,0.80364,0.4836309897
104,0.85299,0.2691681487
105,0.85948,0.1309520828
106,0.86769,0.3743957117
107,0.83652,0.3019061694
108,0.82445,0.1809733737
109,0,0.8293715402
110,0,0.6991959522
111,0.83232,0.328081557
112,0.86154,0.1001928713
113,0.80229,0.1430754202
114,0.5868,0.7563309371
115,0.68515,0.20744934
116,0.18067,0.1876612479
117,0.81535,0.1983067405
118,0.7012,0.3906520051
119,0.84247,0.1817999649
120,0.83519,0.2215264384
121,0.83737,0.2495553941
122,0.85405,0.4601357613
123,0.84713,0.1733587155
124,0,0.6926333191
125,0.66405,0.4256193172
126,0.8637,0.170878942
127,0.05079,0.1481351602
128,0.86341,0.3021316033
129,0,0.5803171104
130,0,0.671342334
131,0,0.8708513889
132,0.84555,0.152718984
133,0.85146,0.2531873857
134,0.87216,0.1466573153
135,0.82371,0.3641259424
136,0.86202,0.1324048794
137,0.8646,0.2559677379
138,0.82849,0.3083936578
139,0.82934,0.5070510733
140,0.2118,0.3552839215
141,0.85558,0.2069984721
142,0.83135,0.467800516
143,0.90812,0.1396939108
144,0.86562,0.5085038699
