x,dice,rmse
0,0.74747,0.2339754027
1,0.83411,0.2853242492
2,0.79298,0.2789369536
3,0.81626,0.247351151
4,0.77778,0.2442702202
5,0.78796,0.4937254214
6,0.77475,0.2797384966
7,0.69649,0.4361145205
8,0.68444,0.3589409614
9,0.7976,0.3900007514
10,0.78822,0.238959998
11,0.84677,0.1162988753
12,0.73381,0.3236981189
13,0.87961,0.2681411718
14,0.14181,0.5734288505
15,0.85007,0.2114320066
16,0.69872,0.3372993012
17,0.72162,0.1413470932
18,0.73508,0.4112666884
19,0.81979,0.4088871077
20,0.82506,0.1560754452
21,0.7875,0.3159582196
22,0.73034,0.5090549307
23,0.8016,0.2588232347
24,0.78977,0.4737118954
25,0.88716,0.1474338101
26,0.84317,0.3258522656
27,0.77805,0.2547654234
28,0.78431,0.3724169025
29,0.81226,0.35671167
30,0.73563,0.67364677
31,0.83947,0.3363975653
32,0.84497,0.568995316
33,0.68268,0.5788392656
34,0.80167,0.3278310748
35,0.4897,0.4632667886
36,0.80997,0.2085765098
37,0.82063,0.663176615
38,0.79948,0.3135034942
39,0.80457,0.3598426972
40,0.7798,0.544047291
41,0.6288,0.2767076622
42,0.82459,0.2877038299
43,0.73052,0.4117927009
44,0.81922,0.3928812965
45,0.59535,0.4404228139
46,0.78775,0.4670240212
47,0.88078,0.2467249455
48,0.82353,0.3490719635
49,0.82213,0.2780853142
50,0.84275,0.3084437542
51,0.52545,0.2870776244
52,0.72908,0.6632768079
53,0.79282,0.3242491797
54,0.81106,0.1036996218
55,0.83306,0.5716003306
56,0.79412,0.2813666308
57,0.80742,0.5294191318
58,0.77915,0.1830273276
59,0.7948,0.1501139694
60,0.85759,0.0879943892
61,0.30016,0.6541592566
62,0.80593,0.6600956842
63,0.83816,0.1582796884
64,0.7876,0.1103123513
65,0.69701,0.620168825
66,0.77008,0.4009969191
67,0.51864,0.4629411617
68,0.77037,0.1658692984
69,0.19436,0.4377677028
70,0.29621,0.19479999
71,0.82081,0.2179946397
72,0.84444,0.5131628385
73,0.73717,0.2905843749
74,0,0.6364000701
75,0.7223,0.2063221702
76,0.76765,0.3689602485
77,0.78201,0.409037397
78,0.66354,0.2417403502
79,0.81462,0.3912030659
80,0.36786,0.3572627308
81,0.76278,0.1370638479
82,0.45161,0.556345966
83,0.81941,0.1063046364
84,0.80207,0.1550735165
85,0.76037,0.2715978258
86,0.78899,0.193422338
87,0.78534,0.3712145881
88,0.6863,0.3112992511
89,0.79377,0.4861107632
90,0.37182,0.6849184681
91,0.78748,0.2335495829
92,0.00249,0.6109260326
93,0.70216,0.2719985973
94,0.8109,0.1455301455
95,0.76138,0.4030258247
96,0.7517,0.0858652907
97,0.61885,0.2352528618
98,0.78641,0.3628985798
99,0.70085,0.314279989
100,0.84539,0.0853893745
101,0.73469,0.6411592315
102,0.7847,0.2264609373
103,0.58246,0.7077874909
104,0.7957,0.1659694913
105,0.8445,0.2439946898
106,0.55598,0.4994865115
107,0.77401,0.3761991834
108,0.78891,0.1969040403
109,0.15814,0.3226961902
110,0.60443,0.4882148135
111,0.80912,0.3124013726
112,0.8292,0.1246900283
113,0.75436,0.2940159808
114,0.48024,0.5892092278
115,0.74126,0.1546476968
116,0.1982,0.1424241665
117,0.76906,0.1979560654
118,0.55377,0.3610951081
119,0.79502,0.1578037723
120,0.84758,0.2278385893
121,0.74637,0.4517195602
122,0.75597,0.5472534629
123,0.7728,0.2434185808
124,0.75962,0.5852015129
125,0.64371,0.1683741202
126,0.77975,0.1717305814
127,0.05248,0.295418681
128,0.80317,0.3466923828
129,0.82732,0.1487613656
130,0.84615,0.4301279964
131,0.26848,0.7038298725
132,0.72075,0.1135435714
133,0.73026,0.2861758886
134,0.46338,0.4618139919
135,0.70728,0.4049545375
136,0.76095,0.0817824312
137,0.29483,0.4661723818
138,0.63652,0.5299451444
139,0.75683,0.5272399369
140,0.22989,0.3543571375
141,0.58993,0.4546251534
142,0.86279,0.2630814318
143,0.84949,0.1029982717
144,0.78582,0.5303459159
