x,dice,rmse
0,0.86874,0.0706860707
1,1,0
2,0.91063,0.3538060767
3,0.88816,0.0820579616
4,0.87458,0.2036670591
5,0.8432,0.1649425143
6,1,0
7,0.89552,0.0692833705
8,0.81845,0.2052200486
9,0.91358,0.072564687
10,1,0
11,0.89019,0.2481025975
12,0.84918,0.0686822133
13,0.91287,0.0715627583
14,0.40872,0.3622974225
15,0.90854,0.0878941963
16,0.83582,0.1579791098
17,0.88812,0.2911103875
18,0.50512,0.1771660446
19,0.91457,0.0870926534
20,0.87732,0.1385917892
21,0.85065,0.1794203842
22,0.90909,0.092803647
23,0.88116,0.1134433785
24,0.83582,0.3348946722
25,0.90883,0.1076822884
26,0.98355,0.0788517897
27,0.88451,0.1458307241
28,0.89344,0.3725170954
29,0.86389,0.1551737094
30,1,0
31,0.89875,0.0669538862
32,0.87365,0.1731583298
33,0.60532,0.4381935225
34,0.87915,0.1401197305
35,0.6791,0.3312376324
36,0.88186,0.0680059114
37,0.91731,0.1758635373
38,0.90042,0.195150665
39,0.89835,0.295769356
40,0.85928,0.2269118052
41,0.7609,0.2076246775
42,0.90402,0.1232121835
43,0.89014,0.2422413145
44,0.8981,0.166395311
45,0.66876,0.4015229316
46,0.887,0.2771084337
47,0.91384,0.2046439396
48,0.875,0.1542970218
49,0.9007,0.2323472685
50,0.92308,0.0784760664
51,0.6484,0.2313954362
52,0.87284,0.1271197054
53,0.89354,0.1408461288
54,0.90388,0.0723142048
55,0.90559,0.1508153195
56,0.89377,0.0920522005
57,0.88379,0.1823009293
58,0.89451,0.1146707412
59,0.87558,0.0837862886
60,0.9024,0.0653758485
61,0,0.3849159632
62,0.90113,0.3030834356
63,0.9046,0.0845878316
64,0.90454,0.1407960324
65,0.83308,0.2544648448
66,0.91679,0.1044510683
67,1,0
68,0.89922,0.0915762843
69,0.76951,0.2616035869
70,0.90743,0.0857400496
71,0.91317,0.1301004434
72,0.89645,0.1536207199
73,0.82877,0.1983067405
74,0,0.6563134033
75,1,0
76,1,0
77,0.862,0.148460787
78,0.69078,0.2271873356
79,0.85714,0.132705458
80,0.42523,0.3857676026
81,0.86188,0.1458307241
82,0.57848,0.3577636951
83,0.87648,0.1001427748
84,0.89085,0.2394860106
85,0.89051,0.0933046114
86,0.88506,0.1061042507
87,0.87225,0.1407208877
88,0.71987,0.3143801819
89,0.89504,0.0901485359
90,0.60804,0.2577211131
91,0.90815,0.1738346317
92,0.97479,0.0736668086
93,0.93955,0.0613681337
94,0.84407,0.1624376926
95,0.86099,0.1128672695
96,0.74219,0.2090524259
97,0.78852,0.1727074619
98,0.97214,0.1797710593
99,0.84112,0.1482353531
100,0.91856,0.1039751522
101,0.84488,0.271272199
102,0.86595,0.1722315457
103,0.66402,0.2023896
104,0.90573,0.073591664
105,0.88657,0.2174686271
106,0.5794,0.4144979085
107,0.86646,0.153520527
108,0.88333,0.0593893244
109,1,0
110,0.57744,0.4500413296
111,0.89838,0.1056533828
112,0.89264,0.1352603762
113,0.85795,0.1615860532
114,0.6819,0.7499686897
115,0.85019,0.2193472434
116,0.8725,0.1240387746
117,0.85963,0.0851639406
118,0.819,0.1262931142
119,0.89906,0.119254565
120,0.88507,0.1304761666
121,0.84909,0.2115572477
122,0.90072,0.1191042757
123,0.89327,0.1126418355
124,1,0
125,0.88195,0.1459559652
126,0.89925,0.0758460036
127,0.86167,0.2326979435
128,0.85956,0.06830649
129,0.98663,0.0419056684
130,0.54198,0.4704055306
131,0.2451,0.7254214363
132,0.87521,0.1020213912
133,0.86364,0.133281567
134,0.54679,0.4877889938
135,0.86308,0.1090599404
136,0.85984,0.142023395
137,0.4192,0.3853417829
138,0.74803,0.3935826466
139,0.85457,0.1119154372
140,0.90196,0.0900733913
141,0.65631,0.2618039726
142,0.91126,0.0597650477
143,0.88712,0.0914009468
144,0.86032,0.0740174837
