x,dice,rmse
0,0.76945,0.2034416251
1,0.81368,0.2248077549
2,0.83399,0.1269944643
3,0.78571,0.2359792601
4,0.80612,0.1199058187
5,0.77879,0.4056057911
6,0.80684,0.2841970794
7,0.74631,0.2764321319
8,0.68231,0.2518598302
9,0.76678,0.3920797535
10,0.79745,0.2195476292
11,0.79553,0.1447035543
12,0.5447,0.3303108484
13,0.84646,0.1936227237
14,0.27865,0.2092528117
15,0,0.3115747815
16,0.826,0.1956265812
17,0.77838,0.3545575232
18,0.45878,0.1476091476
19,0.82148,0.2149387571
20,0.79191,0.1649425143
21,0.68432,0.2298424467
22,0.73802,0.4026751497
23,0.7918,0.3099215991
24,0.79046,0.1825263632
25,0.75272,0.2226035118
26,0.75547,0.2690429076
27,0.77522,0.1370387997
28,0.75799,0.2511584801
29,0.77273,0.2760564086
30,0.80567,0.3610951081
31,0.8346,0.2903088445
32,0.82591,0.420309095
33,0.66835,0.7462866017
34,0.76167,0.2970718633
35,0.50127,0.218946472
36,0.77551,0.1862334995
37,0.81443,0.5454750395
38,0.79403,0.2828444756
39,0.81805,0.1235127621
40,0.80484,0.4122185207
41,0.77322,0.1213335671
42,0.80546,0.2902086517
43,0.76259,0.2160909751
44,0.79265,0.2870776244
45,0.66576,0.2573704381
46,0.78856,0.2181699772
47,0.80965,0.1716804849
48,0.87732,0.2606768028
49,0.81159,0.1134684267
50,0.59229,0.3756481226
51,0.5916,0.3057886431
52,0.5259,0.4062570448
53,0.79401,0.2361045012
54,0.81311,0.107632192
55,0.7574,0.4862109561
56,0.78619,0.302557423
57,0.76846,0.3145054229
58,0.76797,0.1510908499
59,0.83113,0.1518172482
60,0.81159,0.0943566365
61,0,0.8078801693
62,0.76948,0.4572051199
63,0.89461,0.0980637728
64,0.81818,0.2151140946
65,0.77204,0.4538486587
66,0.76923,0.3822608521
67,0.79468,0.2410139519
68,0.78957,0.2075495329
69,0.10385,0.2232798136
70,0.24513,0.0935300453
71,0.84676,0.1049269844
72,0.7927,0.277133482
73,0.81181,0.1406206948
74,0.75815,0.1344588333
75,0.77972,0.28587531
76,0.79412,0.1558750595
77,0.76113,0.2020389249
78,0.77882,0.1649926108
79,0.86676,0.2369561406
80,0.79751,0.0956591439
81,0.81595,0.1358615335
82,0.76821,0.4265461012
83,0.81453,0.1906920823
84,0.81707,0.2076246775
85,0.77333,0.3503243744
86,0.78618,0.1976554868
87,0.78125,0.3230719134
88,0.81698,0.1501139694
89,0.77841,0.3607694813
90,0.27119,0.4945770608
91,0.77692,0.1641910678
92,0,0.4975577988
93,0.70567,0.3253012048
94,0.81429,0.0904240663
95,0.75556,0.3296846429
96,0.73913,0.4047792
97,0.76967,0.234250933
98,0.80819,0.3347694312
99,0.7916,0.2936903539
100,0.82108,0.1492122335
101,0.80496,0.3756230744
102,0.78141,0.3446885254
103,0.71721,0.5381860081
104,0.80082,0.1631640909
105,0.79141,0.153745961
106,0.62956,0.2577461614
107,0.79365,0.2172431931
108,0.76603,0.1876361997
109,0.11257,0.1671718057
110,0.77733,0.1315782882
111,0.80822,0.2447711845
112,0.80139,0.133281567
113,0.75917,0.2557673522
114,0.3301,0.4066327681
115,0.39157,0.5238333793
116,0.17825,0.1780677805
117,0.74764,0.1625879819
118,0.68406,0.2941913183
119,0.78947,0.1958770633
120,0.79887,0.117175563
121,0.78039,0.3540064624
122,0.78788,0.3608696741
123,0.80214,0.2281642161
124,0.80882,0.3298850287
125,0.68232,0.1029982717
126,0.76408,0.2350775242
127,0.04181,0.1164992611
128,0.78261,0.2904340856
129,0.79522,0.0964356386
130,0.55319,0.2820178844
131,0.76638,0.209177667
132,0.68846,0.2408386143
133,0.80258,0.1452045187
134,0.79167,0.1855822458
135,0.74957,0.2978233099
136,0.78592,0.3850913008
137,0.84848,0.2026901786
138,0.75622,0.1997845853
139,0.73684,0.5639105278
140,0.18151,0.267364677
141,0.80493,0.3040853643
142,0.8144,0.2854745385
143,0.84536,0.1345089297
144,0.79588,0.2498058763
