x,dice,rmse
0,0.961,0.1142699697
1,0.82807,0.2107557047
2,0.92412,0.1566014578
3,0.86519,0.1055782381
4,0.93962,0.1339328207
5,0.94406,0.0679307667
6,0.77667,0.3013050121
7,0.94046,0.1872354282
8,0.9147,0.0670540791
9,0.89945,0.0673797059
10,0.82201,0.0995666658
11,0.90973,0.3315632593
12,0.68182,0.5325752073
13,0.93466,0.1268191268
14,0.65012,0.5233324149
15,0,0.2476767778
16,0.92032,0.1224607369
17,0.91684,0.1163990682
18,0.96732,0.4830548806
19,0.92775,0.2728502367
20,0.90965,0.0980637728
21,0.82655,0.2916113519
22,0.90941,0.1040002004
23,0.90401,0.1709290384
24,0.91501,0.1159732485
25,0.86411,0.2095533903
26,0.80695,0.1926458432
27,0.93355,0.1070310347
28,0.89103,0.0679307667
29,0.90452,0.1356611477
30,0.65351,0.3783533302
31,0.90968,0.121784435
32,0.9154,0.1052275631
33,0.90365,0.1969791849
34,0.91714,0.2556922075
35,0.89381,0.0757458107
36,0.8996,0.0921022969
37,0.94692,0.0915512361
38,0.91057,0.2377576835
39,0.95223,0.1249906069
40,0.91011,0.1061793953
41,0.95,0.1592315207
42,0.92389,0.0897227162
43,0.93248,0.0663777772
44,0.91803,0.0567843098
45,0.93956,0.3754226887
46,0.93408,0.0460636726
47,0.93623,0.1063046364
48,0.91932,0.1384665481
49,0.94737,0.1179771059
50,0.68085,0.6888510382
51,0.83962,0.2810159557
52,0.68203,0.4231144954
53,0.92308,0.1066803597
54,0.94565,0.0528517396
55,0.8903,0.0602910603
56,0.92151,0.0919520076
57,0.91439,0.2816922576
58,0.88552,0.0570848884
59,0.92718,0.0902236806
60,0.90772,0.0894722341
61,0,0.4867119204
62,0.91398,0.0950078902
63,0.95813,0.1200060116
64,0.92279,0.1256669088
65,0.9375,0.0749943642
66,0.90941,0.1326553616
67,0.44231,0.2515842998
68,0.90275,0.315432207
69,0.97921,0.14673246
70,0.93114,0.1510908499
71,0.94581,0.0873431355
72,0.92522,0.1379405355
73,0.93996,0.0559827668
74,1,0
75,0.73005,0.1387671267
76,0.82838,0.2743280816
77,0.88989,0.2696440648
78,1,0
79,0.95092,0.1363624978
80,0.97822,0.0328632618
81,0.93312,0.1084838314
82,0.97112,0.096711169
83,0.94635,0.1202063973
84,0.8977,0.0875184731
85,0.93964,0.0820329134
86,0.90909,0.0913508504
87,0.9372,0.1393933322
88,0.96117,0.0385742554
89,0.92407,0.1387170303
90,0.84689,0.5361571024
91,0.89388,0.0796533327
92,0.85676,0.0999173409
93,0.93714,0.1176013827
94,0.91255,0.0708614082
95,0.92683,0.0721889638
96,0.98958,0.2050196629
97,0.92923,0.0968614583
98,0.82478,0.1026976931
99,0.94563,0.0703103474
100,0.93413,0.1670465646
101,0.93058,0.0962603011
102,0.9084,0.0712872279
103,0.91686,0.0724895424
104,0.9234,0.1130175588
105,0.89172,0.0942814919
106,0.72495,0.3144553265
107,0.9576,0.0917265737
108,0.94318,0.0771234627
109,0.74427,0.2838965008
110,1,0
111,0.90909,0.0577862385
112,0.90943,0.1537960574
113,0.93515,0.1612604263
114,0.88247,0.3903514265
115,0.45578,0.5647872154
116,0.89744,0.2119580192
117,0.89908,0.1187786489
118,0.94242,0.0965859279
119,0.92568,0.0620444355
120,0.92988,0.1118653408
121,0.88259,0.1203316384
122,0.92512,0.1664704556
123,0.93308,0.1340580618
124,0.77936,0.3003531799
125,0.92432,0.1128422213
126,0.93063,0.0715627583
127,0.91409,0.1362122085
128,0.92245,0.1175512862
129,0.8352,0.1285975503
130,0.98955,0.118327781
131,1,0
132,0.8375,0.1335320492
133,0.93405,0.1429501791
134,0.97516,0.0416050898
135,0.94094,0.1002930641
136,0.9248,0.3076422113
137,0.96104,0.0542043434
138,0.93657,0.0519249555
139,0.90036,0.1182025399
140,0.91103,0.1734338602
141,0.92377,0.1012448964
142,0.94012,0.1138691982
143,0.9321,0.1526939358
144,0.90299,0.3195150665
