x,dice,rmse
0,0.90609,0.150414548
1,0.88408,0.1275956216
2,0.81787,0.3652531122
3,0.81957,0.1018711019
4,0.88468,0.132480024
5,0.88796,0.126268066
6,0.87555,0.3085188989
7,0.89089,0.0864914961
8,0.66195,0.2952683917
9,0.90801,0.1001177266
10,0.89956,0.1269443679
11,0.86968,0.1581544473
12,0.89717,0.1483355459
13,0.91267,0.0628710267
14,0.40594,0.3628234351
15,0.8736,0.161686246
16,0.89614,0.1598827743
17,0.8949,0.2401873607
18,0.86957,0.2301931218
19,0.93083,0.1750870426
20,0.88416,0.1901911179
21,0.84465,0.1671217093
22,0.90113,0.1027227413
23,0.9027,0.2028905643
24,0.81197,0.1620118729
25,0.8691,0.3035092553
26,0.88704,0.166169877
27,0.91027,0.2561430754
28,0.83554,0.3980412294
29,0.9284,0.0704355885
30,0.76604,0.5270645994
31,0.86458,0.1392680911
32,0.86957,0.1524184054
33,0.87267,0.1994840067
34,0.8473,0.1236880996
35,0.35714,0.2251083335
36,0.89168,0.1231370388
37,0.91587,0.1637151517
38,0.8553,0.2780101696
39,0.91871,0.1091851815
40,0.8507,0.4755153671
41,0.77747,0.2410640483
42,0.90647,0.1699271097
43,0.88689,0.2020639731
44,0.896,0.1680484933
45,0.6456,0.3381008441
46,0.89455,0.2230794279
47,0.91089,0.1074568544
48,0.75332,0.1345590261
49,0.90452,0.2141372141
50,0.86943,0.1639405856
51,0.40948,0.2649099517
52,0.85632,0.5453247501
53,0.86054,0.1769907071
54,0.85358,0.1395436215
55,0.90701,0.2612779601
56,0.92997,0.1234376174
57,0.886,0.2219272099
58,0.83492,0.1308769381
59,0.88136,0.1872604764
60,0.87073,0.1139693911
61,0.75107,0.4790972622
62,0.80363,0.2072740025
63,0.92662,0.1849309922
64,0.93431,0.1495879568
65,0.73894,0.2596999224
66,0.86377,0.0988152193
67,0.37671,0.2573704381
68,0.90806,0.2919620269
69,0.86614,0.3922300428
70,0.90909,0.1155474288
71,0.86269,0.2039425895
72,0.88193,0.2479022118
73,0.86022,0.2744783709
74,0,0.6556871979
75,0.86006,0.0927535506
76,0.92375,0.143626481
77,0.75177,0.1029481752
78,0.68019,0.2130100443
79,0.88466,0.1286977432
80,0.36768,0.4106655311
81,0.86129,0.1231871352
82,0.55121,0.346141322
83,0.89286,0.1190541793
84,0.85289,0.3203917541
85,0.8834,0.1349848458
86,0.76895,0.1396438143
87,0.85559,0.1785937931
88,0.75522,0.3263031335
89,0.87366,0.1207073617
90,0.50262,0.2284146983
91,0.87937,0.1758635373
92,0.93168,0.1592315207
93,0.90016,0.127069609
94,0.82609,0.2025398893
95,0.82663,0.2627808531
96,0.87541,0.2784610375
97,0.81148,0.1779174912
98,0.874,0.1666708414
99,0.77661,0.27069609
100,0.91043,0.0791774165
101,0.84555,0.0828595045
102,0.85926,0.1198807705
103,0.5192,0.223204669
104,0.87847,0.1209578438
105,0.85606,0.2607519475
106,0.60558,0.4027252461
107,0.91248,0.1270195126
108,0.89728,0.0852891817
109,0.89567,0.082909601
110,0.5622,0.3830122987
111,0.91507,0.1375147158
112,0.86409,0.1885128873
113,0.88342,0.4762167172
114,0.55163,0.837512211
115,0.88348,0.1561756381
116,0.84012,0.1616361496
117,0.87991,0.1114645693
118,0.86675,0.1314279989
119,0.85525,0.102572452
120,0.89429,0.167898204
121,0.8537,0.2020138767
122,0.92722,0.1932219523
123,0.8916,0.1619367282
124,0.8453,0.1661949252
125,0.90231,0.1876111515
126,0.88219,0.0827593117
127,0.8088,0.2196227738
128,0.89602,0.3404052802
129,0.91584,0.1545976004
130,0.87467,0.3686596699
131,0.25806,0.7514465346
132,0.74884,0.1107632192
133,0.88242,0.2131853819
134,0.5316,0.4800490945
135,0.88025,0.1844801242
136,0.86439,0.1893645267
137,0.37322,0.418931443
138,0.71025,0.4167021516
139,0.7596,0.1400195376
140,0.8736,0.161686246
141,0.53701,0.284272224
142,0.93,0.0543045362
143,0.88582,0.1251909927
144,0.81548,0.2950930541
