x,dice,rmse
0,0.94602,0.0870676051
1,0,0.6910803296
2,0.96359,0.0936302382
3,0.97731,0.0618941462
4,0.9396,0.0724895424
5,0.93045,0.1097612905
6,0,0.7501690755
7,0.95304,0.1890388999
8,0.96296,0.0866417854
9,0.97059,0.0718132405
10,0,0.6256794329
11,0.94574,0.0525762092
12,0.93694,0.1048017434
13,0.96277,0.0653508003
14,1,0
15,0.95974,0.1044009719
16,0.93772,0.0752197981
17,0.93849,0.1082583974
18,0,0.8487087644
19,0.96946,0.0626205445
20,0.97135,0.0758460036
21,0.95971,0.1646419357
22,0.96672,0.0318613331
23,0.96319,0.0769230769
24,0.9719,0.0608170729
25,0.9716,0.1442526864
26,0,0.9341732836
27,0.941,0.1195551437
28,0.97589,0.1859579691
29,0.93162,0.1055030935
30,0,0.6616486737
31,0.91351,0.5484557774
32,0.74663,0.6201938732
33,0.92179,0.1386168374
34,0.97429,0.048643639
35,0.70822,0.2448713774
36,0.87854,0.5702978233
37,0.94301,0.1148210305
38,0.95362,0.0621947248
39,0.94183,0.1105878817
40,0.93248,0.2638829747
41,0.94,0.1822758811
42,0.95133,0.1096610976
43,0.92199,0.0454374671
44,0.96107,0.0962853493
45,0.80973,0.6200936803
46,0.94059,0.1301004434
47,0.94437,0.2448463292
48,0.97279,0.10372467
49,0.93872,0.1249655587
50,0.97143,0.0784009218
51,0.78837,0.2459234025
52,0.96459,0.1355108584
53,0.97579,0.0440097187
54,0.88146,0.5274653708
55,0.93907,0.125691957
56,0.95619,0.0850887959
57,0.95056,0.1312276132
58,0.97619,0.116148586
59,0.94192,0.1560253488
60,0.96346,0.0683565864
61,1,0
62,0.96651,0.0886205946
63,0.94927,0.1307016006
64,0.94959,0.0822833955
65,0.93623,0.0956090474
66,0.95912,0.1109135085
67,0,0.8115121609
68,0.94822,0.1751120908
69,0,0.6833404303
70,0.9506,0.0699847206
71,0.94412,0.084863362
72,0.93353,0.0805550685
73,0.8917,0.1107882674
74,0.8532,0.2165167948
75,0,0.5719760539
76,0,0.824512186
77,0.96063,0.0752448463
78,0,0.8882098039
79,0.95132,0.0526513539
80,0.89706,0.1333066152
81,0.9587,0.0689076472
82,0.86233,0.687899206
83,0.95274,0.1099616762
84,0.96629,0.0924780202
85,0.91915,0.0607920246
86,0.95775,0.1321043008
87,0.92982,0.1028229341
88,0.93731,0.1042005861
89,0.97076,0.0694837562
90,0.72868,0.2277634446
91,0.96416,0.0551311274
92,0,0.6371264685
93,0.9506,0.1082333492
94,0.92407,0.0977381459
95,0.90694,0.6258547704
96,0,0.5962978734
97,0.94576,0.0883701125
98,0,0.7826315658
99,0.94395,0.0692082258
100,0.94933,0.0808305989
101,0.82251,0.2054204343
102,0.96121,0.1021466323
103,0.9441,0.0987901711
104,0.93633,0.1423490219
105,0.97038,0.0486937354
106,1,0
107,0.95935,0.0946321669
108,0.94737,0.0764221126
109,0,0.9941888135
110,0,0.6690629462
111,0.94471,0.1097362423
112,0.94652,0.0868421712
113,0.94368,0.246549608
114,0.78832,0.3969391078
115,0.78261,0.3003281317
116,0.96753,0.0828094081
117,0.96118,0.0554818025
118,0.95989,0.1024221627
119,0.97515,0.0948826491
120,0.9247,0.1434761917
121,0.91815,0.1012699446
122,0.94273,0.0839866743
123,0.93898,0.1351852316
124,0,0.782656614
125,0.89424,0.44272725
126,0.93333,0.0927034541
127,0.97492,0.1094356637
128,0.94585,0.0919019112
129,0,0.5230318363
130,0,0.6314655712
131,0,0.8716278837
132,0.92512,0.0734163264
133,0.9599,0.0955088545
134,0.92286,0.109135085
135,0.93211,0.0694086116
136,0.9517,0.0681311525
137,0.92487,0.1159482003
138,0.91787,0.1365628836
139,0.95963,0.1194549508
140,0.96815,0.1020714876
141,0.94071,0.1566766025
142,0.89848,0.2874783959
143,0.95833,0.0814317561
144,0.9747,0.0517746662
